0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 404 1170
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/animate-css/animate.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/nouislider/nouislider.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/morrisjs/morris.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/multi-select/css/multi-select.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/jquery-datatable/skin/bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/css/style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/css/themes/all-themes.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/images/user.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/jquery/jquery.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap/js/bootstrap.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap-select/js/bootstrap-select.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/node-waves/waves.js HTTP/1.1" 404 1058
